Latitude,Longtitude
40.94289771,29.0390297
41.2144912,29.09410704
41.12084618,29.07659061
40.93636002,29.07228447
41.07010113,28.84269383
41.08403379,29.21033874
41.02230329,29.05332029
40.94898954,28.86497529
40.91117829,28.98555349
40.93057441,29.0263735
40.98649307,29.11370075
41.20368761,29.10754687
41.06640224,28.96196971
41.01821618,29.16796399
41.10569174,29.1061127
40.97357512,29.1340053
41.21741622,28.92430724
41.17640992,28.9619011
41.07079384,29.20299532
40.92057301,29.11478979
40.99007004,29.17973429
41.10344495,28.94908124
40.90505775,29.02310544
41.03528974,29.03540637
41.1242362,29.1443972
41.05956648,29.22932226
41.18789342,28.93032748
41.22358821,29.09119096
40.9843241,29.01796111
41.13319698,28.98107626
40.9713575,29.15752718
40.93293375,28.92713756
40.95210144,28.95509341
41.10327034,29.09930356
41.13868882,28.80551168
40.99167928,29.16468119
40.97691175,28.91429446
40.9143017,29.00714205
41.13473284,29.13090333
41.12678328,29.09087169
41.19871917,28.9488406
40.94550453,28.99340555
40.99944793,28.81907406
40.96431519,28.94105559
41.1189979,29.22828317
41.15948791,28.90126877
41.03222398,28.8087556
40.94803982,29.08596659
41.19898682,28.96265637
40.9748498,29.01129194
40.95242793,28.9311874
41.0541949,28.98904412
41.03161169,28.99387376
41.07943865,28.90581193
41.0784666,29.05897273
41.00254232,29.17664971
41.1157774,29.19730149
41.23779286,29.00219494
40.94649417,29.0084642
41.24562813,28.93356274
41.15976605,28.84539417
41.06269504,28.85729457
41.05964109,29.21996033
40.96633174,28.89811533
41.11210374,29.08113902
41.03754713,28.92995352
41.24286058,29.02297294
40.97941454,29.01904718
41.1042384,29.0822364
41.01600399,29.17081412
41.19180718,29.11607601
41.01139185,29.21837122
41.22120017,29.0332929
41.01757921,29.07587698
40.95311419,29.14597635
40.9359662,29.030426
41.15381487,29.10822445
41.00242488,28.90463353
40.99685433,29.11494926
41.17916435,29.13708831
41.10669171,28.81879709
41.09124758,28.99231039
40.96852872,29.00273922
41.22706879,28.93175958
41.04768801,29.05594193
41.10928791,29.20463508
41.13710617,29.02775412
41.10709901,28.93685949
41.08238912,28.97287518
41.244321,28.99741959
41.07355775,28.85925998
41.23364872,28.95539712
41.00759082,28.83006094
41.22510529,29.1223843
40.95993566,29.19252642
41.18130586,29.05252078
40.9126228,29.02070508
41.19533523,28.89605905
41.07398165,29.20019036
41.02761973,29.06637973
41.11680313,28.82177655
40.94625466,29.10689955
41.11299073,29.21113171
40.99352104,28.89692071
41.09847997,28.97509363
40.91933222,29.09805825
